id,titulo,lancamento,cartaz,imagem
1,Extraordinário,2017,drama,https://www.intrinseca.com.br/blog/wp-content/uploads/2017/05/Wonder-Poster-664x1024.jpg
2,1917,2020,épico,https://seuladogeek.com.br/wp-content/uploads/2022/08/Filme-1917.jpg
3,O Céu da Meia-Noite,2018,sci-fi,https://images.squarespace-cdn.com/content/v1/58b866f417bffc4dc469acab/1609006238624-9CDIVFZTKYPKHB7H8C81/critica+o+ceu+da+meia+noite+netflix
4,Ainda Estou Aqui,2022,drama,https://br.web.img3.acsta.net/pictures/22/01/13/10/10/2132032.jpg
5,Enola Holmes 2,2022,mistério,https://sm.ign.com/ign_br/screenshot/default/enola-1_ak39.jpg
